Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class,State,Gender
FE46445,,,High School or Below,6965.423975,25411,86,0,242.807725,Personal Auto,Four-Door Car,Arizona,F
PD32854,,,High School or Below,15114.40241,28513,100,1,480.0,Personal Auto,SUV,Arizona,F
GV35061,,,High School or Below,22523.7063,69346,63,1,246.284609,Special Auto,Two-Door Car,Oregon,M
BG44829,,,High School or Below,10760.17612,74835,133,0,107.645982,Corporate Auto,SUV,Oregon,F
RH83684,,,Master,5808.932598,43282,72,0,166.799814,Personal Auto,Two-Door Car,Oregon,F
SB82356,,,Bachelor,30591.61257,11276,91,1,436.8,Corporate Auto,Four-Door Car,Nevada,F
TW49116,,,College,2220.187426,0,62,2,311.506082,Personal Auto,Four-Door Car,Nevada,M
RJ39700,,,Bachelor,4914.035833,10037,71,0,292.181494,Personal Auto,Four-Door Car,Oregon,M
LO40410,,,Doctor,2395.57,21986,63,0,333.696228,Personal Auto,Two-Door Car,Oregon,F
SX85653,,,Doctor,5522.524223,85609,136,0,652.8,Personal Auto,SUV,Arizona,F
PH91033,,,College,15808.75757,86347,130,0,593.779554,Personal Auto,Sports Car,Oregon,M
LC69427,,,College,2827.328603,20368,72,0,345.6,Corporate Auto,Four-Door Car,Oregon,F
MZ85889,,,Master,5421.524497,25778,68,0,20.141289,Corporate Auto,Two-Door Car,California,F
GL82358,,,High School or Below,2514.59196,43860,65,0,156.124914,Corporate Auto,Four-Door Car,Nevada,F
AM94127,,,College,5157.642282,93303,65,0,40.757983,Corporate Auto,Four-Door Car,Oregon,M
TO19482,,,High School or Below,4874.665223,67467,61,0,365.879938,Personal Auto,Two-Door Car,Oregon,M
WA68850,,,High School or Below,4198.02525,30598,106,0,508.8,Personal Auto,SUV,Arizona,M
ER97256,,,College,5380.898636,55350,67,0,321.6,Personal Auto,Four-Door Car,Arizona,F
CK85904,,,High School or Below,13466.92071,11432,119,0,571.2,Corporate Auto,SUV,California,F
GH30325,,,College,2424.424678,27093,61,0,292.8,Personal Auto,Four-Door Car,Oregon,M
LG98245,,,Bachelor,3823.853815,0,108,0,777.6,Personal Auto,SUV,Nevada,M
KW31376,,,High School or Below,13883.32934,0,197,0,1418.4,Corporate Auto,Luxury Car,Oregon,F
XZ45224,,,College,2438.533897,38961,62,0,297.6,Corporate Auto,Two-Door Car,Oregon,F
HD56196,,,Doctor,34090.03598,51840,94,0,33.747903,Corporate Auto,Two-Door Car,Oregon,F
EM39400,,,Bachelor,2840.302575,79181,72,0,241.277426,Personal Auto,Four-Door Car,Nevada,M
FP39090,,,Bachelor,24127.50402,14072,71,0,511.2,Special Auto,Four-Door Car,Oregon,M
CE17166,,,College,7596.143777,56225,97,0,465.6,Personal Auto,Four-Door Car,California,M
HF67477,,,High School or Below,15096.27023,14909,199,0,1238.077611,Personal Auto,Luxury Car,Washington,M
GJ79432,,,High School or Below,6005.214792,26876,76,0,364.8,Personal Auto,Four-Door Car,Nevada,M
ZE17448,,,College,3455.23067,68401,88,0,242.254164,Personal Auto,Four-Door Car,Oregon,M
SK65854,,,College,5728.581037,29730,72,0,463.21435,Personal Auto,Four-Door Car,Nevada,F
RT23641,,,High School or Below,5163.228365,35577,130,0,574.51239,Personal Auto,SUV,Oregon,F
PY79113,,,Master,2602.650842,41958,66,1,206.818326,Corporate Auto,Four-Door Car,California,M
EP61197,,,Master,32643.07651,77915,115,0,552.0,Personal Auto,Four-Door Car,Oregon,F
IL12516,,,Bachelor,2789.74739,15514,74,0,355.2,Corporate Auto,Four-Door Car,Oregon,F
BF55854,,,College,11250.09857,29505,284,0,1979.444237,Personal Auto,Luxury Car,Nevada,F
GP19791,,,College,16510.96722,31356,68,0,326.4,Personal Auto,Two-Door Car,California,F
II16403,,,College,7607.983712,31456,199,0,436.695385,Personal Auto,Luxury SUV,California,F
SS28002,,,High School or Below,5603.73932,95284,69,0,327.647322,Personal Auto,Four-Door Car,Arizona,F
VT97066,,,High School or Below,6674.44805,0,98,0,931.648937,Personal Auto,Two-Door Car,Nevada,M
FH97700,,,Bachelor,4049.415027,62864,104,0,171.213743,Personal Auto,Two-Door Car,Washington,F
NB96938,,,College,4958.016206,22842,65,0,468.0,Personal Auto,Four-Door Car,Oregon,M
HY32811,,,Bachelor,7850.128057,67186,66,0,184.936711,Personal Auto,Four-Door Car,California,F
MB69465,,,High School or Below,6382.583452,0,87,0,417.6,Personal Auto,Four-Door Car,Arizona,M
LE12086,,,College,5737.499595,68946,71,0,309.627788,Personal Auto,Four-Door Car,Oregon,F
IO89174,,,Bachelor,7688.023506,56680,100,2,480.0,Personal Auto,SUV,Oregon,F
DB26077,,,High School or Below,4873.436612,18866,126,0,604.8,Personal Auto,SUV,Arizona,F
NB98740,,,High School or Below,2824.681217,82875,70,0,455.337179,Personal Auto,Four-Door Car,California,F
EL82767,,,College,3722.368016,0,109,2,523.2,Personal Auto,SUV,Arizona,F
AK54675,,,Bachelor,5535.963648,84863,138,0,691.697458,Corporate Auto,SUV,California,F
EW67766,,,College,4727.8341,0,127,0,609.6,Personal Auto,SUV,California,F
JS36743,,,Bachelor,2378.667328,54753,61,0,292.8,Personal Auto,Four-Door Car,California,M
TV20901,,,College,9337.895228,76381,116,0,556.8,Special Auto,Two-Door Car,California,F
LQ20969,,,Bachelor,6189.994337,59523,78,1,343.789779,Personal Auto,Four-Door Car,California,M
BZ33435,,,Bachelor,5638.262608,56017,71,0,51.995897,Corporate Auto,Four-Door Car,Arizona,F
OA55110,,,Master,5264.361755,14306,74,3,355.061143,Corporate Auto,Four-Door Car,Arizona,M
YJ42538,,,Bachelor,4035.68383,21359,101,0,484.8,Personal Auto,Sports Car,Arizona,F
XB64207,,,Bachelor,4117.4697,86101,102,0,344.736945,Personal Auto,SUV,Arizona,F
KZ80424,,,Bachelor,8382.478392,25998,71,0,791.878042,Personal Auto,Four-Door Car,Washington,M
BC34309,,,Master,2435.147986,64341,61,0,79.934072,Personal Auto,Four-Door Car,California,F
JC34468,,,High School or Below,6599.081932,36060,165,0,774.558233,Special Auto,Sports Car,California,F
ON34922,,,High School or Below,5353.932122,61894,67,0,266.996814,Personal Auto,Four-Door Car,Oregon,M
MQ93707,,,High School or Below,6747.524275,26721,65,3,312.0,Personal Auto,Four-Door Car,Oregon,M
SY28542,,,Bachelor,7412.135256,59940,94,0,303.098944,Personal Auto,Four-Door Car,Nevada,F
RA29518,,,Master,5512.342258,45971,138,0,139.826393,Special Auto,SUV,Washington,M
No34698,,,Bachelor,4015.34005,80055,100,0,121.945071,Corporate Auto,SUV,Oregon,M
VK37392,,,College,7772.473464,58345,98,0,346.971517,Personal Auto,Four-Door Car,Arizona,M
LJ43082,,,College,4638.945365,0,71,3,143.276484,Personal Auto,Two-Door Car,Oregon,F
FI90697,,,Bachelor,10507.50144,76549,132,0,616.349424,Personal Auto,SUV,Oregon,M
DR93103,,,Master,17556.99121,36212,73,0,119.033795,Personal Auto,Two-Door Car,Arizona,F
XR37151,,,Bachelor,9103.700091,0,131,0,628.8,Personal Auto,Sports Car,California,F
ZZ43513,,,High School or Below,13110.54899,73597,114,5,485.183645,Personal Auto,SUV,California,M
QW81912,,,High School or Below,8006.219948,63762,99,0,108.161276,Personal Auto,Four-Door Car,California,F
AZ50087,,,Bachelor,6807.271588,32787,86,0,568.58486,Personal Auto,Two-Door Car,California,M
HQ87008,,,Bachelor,2627.610202,94962,67,4,321.6,Personal Auto,Two-Door Car,California,F
FM30352,,,High School or Below,9095.744565,0,256,0,1943.772393,Personal Auto,Luxury Car,Oregon,F
PD30266,,,College,5015.643575,73809,125,0,537.315879,Special Auto,SUV,California,F
GA50461,,,Bachelor,4726.869327,13037,124,0,839.348464,Personal Auto,SUV,Oregon,F
FY84962,,,High School or Below,3059.182181,0,88,0,989.200247,Personal Auto,Four-Door Car,California,M
GT14584,,,College,4122.569957,75272,103,0,71.647924,Personal Auto,SUV,Oregon,F
IA87250,,,Master,2620.903729,39278,66,0,65.590217,Personal Auto,Four-Door Car,Arizona,F
MM67983,,,Bachelor,4938.893241,36913,62,0,90.569696,Personal Auto,Four-Door Car,Oregon,M
MW40110,,,Bachelor,4691.043597,0,74,1,407.218947,Personal Auto,Four-Door Car,California,M
SH93005,,,College,6005.847375,13528,86,0,412.8,Personal Auto,Four-Door Car,California,M
KD69941,,,Bachelor,4941.650159,0,137,0,986.4,Personal Auto,SUV,California,M
JV38934,,,Bachelor,2254.402024,0,65,1,768.797656,Personal Auto,Four-Door Car,Washington,F
XI16714,,,High School or Below,2554.032052,0,72,0,405.804184,Corporate Auto,Four-Door Car,Arizona,F
DG68667,,,Doctor,8123.955566,12617,108,0,648.925597,Personal Auto,SUV,Arizona,M
AR40217,,,High School or Below,19079.09518,42754,65,4,279.715067,Personal Auto,Two-Door Car,Oregon,F
IM73868,,,College,10461.58298,0,155,0,1116.0,Corporate Auto,Sports Car,Oregon,M
BR44176,,,High School or Below,4669.22664,76157,116,0,556.8,Personal Auto,Two-Door Car,California,F
MY51849,,,Bachelor,4903.810606,0,66,0,469.6093,Personal Auto,Four-Door Car,Oregon,F
FQ61281,,,High School or Below,83325.38119,58958,231,0,1108.8,Personal Auto,Luxury Car,Oregon,M
NJ72300,,,Bachelor,8009.028202,0,107,0,740.963933,Personal Auto,SUV,Oregon,F
YO81740,,,Bachelor,23895.6779,0,98,0,705.6,Personal Auto,Four-Door Car,Oregon,F
WM25415,,,High School or Below,7732.385103,34430,65,0,184.958966,Personal Auto,Two-Door Car,Oregon,F
GU41036,,,High School or Below,9416.28441,13411,127,0,609.6,Personal Auto,SUV,Oregon,M
NN66592,,,Bachelor,5923.518828,73758,74,0,301.562622,Personal Auto,Four-Door Car,California,M
TO29918,,,High School or Below,3833.066768,0,116,2,1397.954723,Personal Auto,Sports Car,California,F
PF53601,,,Bachelor,28432.00202,17130,198,0,950.4,Special Auto,Luxury SUV,Oregon,M
TF61492,,,College,5553.756551,0,92,3,662.4,Personal Auto,Four-Door Car,Washington,F
PD52748,,,High School or Below,10036.53634,0,134,1,1353.28906,Personal Auto,SUV,Oregon,F
TF68928,,,Bachelor,6575.53817,10517,92,0,441.540848,Personal Auto,Four-Door Car,Arizona,M
VZ79366,,,College,4362.931238,58842,110,0,528.0,Personal Auto,Four-Door Car,California,M
SQ53118,,,College,7873.708219,22355,71,3,340.8,Personal Auto,Four-Door Car,California,M
QZ56257,,,High School or Below,13021.0853,0,223,5,1605.6,Personal Auto,Luxury Car,Washington,F
ZI34278,,,Bachelor,4492.23348,21137,61,1,292.8,Personal Auto,Four-Door Car,Arizona,F
ZB82406,,,Bachelor,6650.456653,0,99,2,712.8,Personal Auto,Four-Door Car,Oregon,F
OP93305,,,High School or Below,11093.71591,78255,95,0,456.0,Personal Auto,Four-Door Car,California,M
CK31454,,,Bachelor,5107.163002,35625,65,1,288.572108,Special Auto,Four-Door Car,Arizona,F
FX81675,,,College,7334.328083,87957,61,0,308.321335,Personal Auto,Four-Door Car,California,F
BK85520,,,College,4996.564694,25915,64,0,317.979988,Corporate Auto,Two-Door Car,Oregon,F
KB18303,,,College,8658.863813,62464,109,0,400.181882,Corporate Auto,Sports Car,California,M
GX47381,,,High School or Below,9657.579498,0,131,0,628.8,Corporate Auto,SUV,California,M
RX31862,,,High School or Below,6176.700392,49529,78,0,234.723464,Personal Auto,Two-Door Car,California,M
YQ58965,,,Bachelor,2867.312197,23376,78,0,374.4,Personal Auto,Four-Door Car,California,F
HG60406,,,College,2821.448707,0,81,0,583.2,Personal Auto,Four-Door Car,California,M
BC52397,,,College,2843.557702,67952,71,0,167.405624,Personal Auto,Two-Door Car,Arizona,M
AR69517,,,College,11790.49617,25251,66,0,316.8,Corporate Auto,Four-Door Car,California,M
JJ23168,,,High School or Below,7785.666532,20497,65,0,425.358596,Personal Auto,Four-Door Car,Arizona,F
NB39218,,,High School or Below,12315.09489,68420,104,1,499.2,Personal Auto,Four-Door Car,California,M
FP95606,,,College,4810.97858,24711,122,0,259.998169,Personal Auto,Sports Car,Arizona,F
YP27180,,,College,27279.33647,76530,119,4,254.149197,Personal Auto,SUV,California,F
JK74110,,,High School or Below,3980.421464,98333,99,1,459.048775,Personal Auto,Four-Door Car,California,M
MC85738,,,Bachelor,14635.45158,0,139,0,667.2,Personal Auto,SUV,California,F
CE78778,,,College,3761.792015,0,106,1,1116.943654,Personal Auto,Four-Door Car,Oregon,F
LT72149,,,High School or Below,5619.689084,0,153,0,1027.000029,Personal Auto,SUV,Nevada,M
ZC89812,,,Bachelor,5304.541694,0,74,0,532.8,Personal Auto,Four-Door Car,Arizona,M
GF68713,,,Bachelor,3207.468733,24695,82,0,393.6,Personal Auto,Four-Door Car,Oregon,M
HB23001,,,Bachelor,8697.787865,26287,111,0,279.378884,Personal Auto,Two-Door Car,California,M
DH99299,,,College,8717.049833,83846,74,3,355.2,Personal Auto,Four-Door Car,California,M
RA61917,,,High School or Below,8029.715047,76081,68,0,384.210821,Personal Auto,Four-Door Car,Washington,F
KM65135,,,College,4763.327142,14957,66,0,316.8,Corporate Auto,Four-Door Car,Oregon,M
RR37482,,,High School or Below,23055.57229,41727,117,1,82.25632,Personal Auto,Four-Door Car,Washington,M
WM24870,,,College,5383.670919,89092,68,2,91.8198,Personal Auto,Two-Door Car,Nevada,F
EC78254,,,College,8409.668976,53986,70,1,127.886591,Corporate Auto,Four-Door Car,Washington,F
CQ19667,,,Bachelor,4257.477861,49853,109,0,679.534284,Personal Auto,Four-Door Car,Oregon,F
AY43037,,,High School or Below,14708.99565,36670,189,0,907.2,Corporate Auto,Luxury Car,Oregon,M
GN36177,,,Bachelor,2593.818427,43626,67,0,321.6,Personal Auto,Two-Door Car,Nevada,M
VL36269,,,High School or Below,2466.581354,0,70,0,504.0,Special Auto,Four-Door Car,Washington,F
UA58104,,,College,7933.820656,76505,65,0,144.051716,Personal Auto,Four-Door Car,California,F
GR12431,,,College,36860.72688,66216,103,0,96.723812,Personal Auto,Sports Car,California,F
IV37346,,,College,7412.029748,52497,63,0,302.4,Corporate Auto,Two-Door Car,Oregon,F
VU99589,,,High School or Below,34611.37896,20090,109,0,523.2,Personal Auto,Sports Car,Arizona,F
VV61641,,,High School or Below,18726.15325,0,185,2,1543.932434,Personal Auto,SUV,Oregon,F
ZY26831,,,Bachelor,7249.065093,37751,93,0,56.692777,Corporate Auto,Four-Door Car,California,F
IP84574,,,College,8193.091589,54840,72,3,468.728516,Corporate Auto,Four-Door Car,Oregon,F
XF33416,,,College,8692.282356,31986,111,0,532.8,Personal Auto,Four-Door Car,Oregon,F
PV62583,,,College,9799.175061,22166,126,0,604.8,Personal Auto,SUV,Nevada,M
QK29271,,,Bachelor,14084.48944,0,208,0,2270.508697,Corporate Auto,Luxury Car,California,M
ZF58696,,,High School or Below,13104.14911,0,130,0,1430.548077,Personal Auto,Sports Car,California,M
PK37320,,,Master,2628.657528,83838,65,0,281.405931,Personal Auto,Two-Door Car,Oregon,F
EP35930,,,Master,5245.683756,46061,65,0,21.612658,Personal Auto,Two-Door Car,Oregon,F
TS34391,,,College,8092.87696,50825,102,0,369.614729,Personal Auto,SUV,Oregon,M
ST65635,,,College,2719.506996,14030,72,0,345.6,Corporate Auto,Two-Door Car,Arizona,F
AQ25590,,,High School or Below,5445.373289,20282,79,3,507.549315,Personal Auto,Two-Door Car,Washington,F
QK37708,,,Bachelor,4514.247473,50146,116,1,759.291202,Personal Auto,SUV,California,M
EY83434,,,High School or Below,22029.1505,0,121,0,580.8,Personal Auto,SUV,Washington,M
DQ55516,,,Bachelor,5408.892351,20472,139,0,667.2,Corporate Auto,SUV,California,F
KS72802,,,Master,3768.371028,85751,93,0,391.210704,Corporate Auto,Four-Door Car,Oregon,F
PE32165,,,High School or Below,27934.62373,76912,116,2,169.226996,Corporate Auto,Sports Car,California,F
XO78284,,,Master,3887.324208,96335,97,0,161.388136,Personal Auto,Four-Door Car,Arizona,M
HS39343,,,Bachelor,7475.784971,29633,196,0,534.653787,Corporate Auto,Luxury Car,Washington,F
ZF77631,,,Master,22758.91192,80540,63,0,65.845112,Personal Auto,Four-Door Car,California,M
ZE60021,,,High School or Below,5124.79641,14465,135,1,944.506601,Corporate Auto,Sports Car,Nevada,F
IU15885,,,Bachelor,4900.336708,0,66,0,316.8,Personal Auto,Four-Door Car,Washington,F
HI16116,,,Master,5278.6471,29899,66,0,419.302975,Personal Auto,Four-Door Car,Oregon,F
WH41496,,,College,4821.986443,0,136,0,652.8,Personal Auto,SUV,Washington,M
IQ24777,,,Bachelor,8044.872393,71391,67,0,284.000172,Personal Auto,Four-Door Car,Nevada,M
CA55066,,,High School or Below,12157.32992,57449,103,0,494.4,Personal Auto,Four-Door Car,Arizona,M
LG87047,,,High School or Below,18591.54967,14209,62,0,297.6,Personal Auto,Four-Door Car,California,M
TK38732,,,High School or Below,4873.350518,47824,129,3,546.046853,Personal Auto,SUV,Oregon,M
KH94432,,,Doctor,5338.525632,48696,66,0,48.762193,Corporate Auto,Four-Door Car,Arizona,F
ID21652,,,Bachelor,2878.766728,79189,71,0,56.092247,Personal Auto,Two-Door Car,Washington,F
RV90030,,,High School or Below,8473.46358,0,116,2,1148.461246,Special Auto,Sports Car,California,F
CK36026,,,Bachelor,3440.361969,23870,91,0,500.577875,Personal Auto,Two-Door Car,Arizona,F
UR27848,,,College,17497.52201,0,73,0,350.4,Personal Auto,Two-Door Car,California,M
KP68957,,,Bachelor,2544.337548,41059,64,0,151.670029,Corporate Auto,Four-Door Car,California,F
LC86277,,,High School or Below,3336.219942,19447,89,0,640.8,Corporate Auto,Four-Door Car,Oregon,M
UW55977,,,Bachelor,5206.108215,94392,65,1,156.18031,Personal Auto,Four-Door Car,Washington,M
RE46032,,,College,43290.49543,23203,132,0,1158.79311,Personal Auto,SUV,Nevada,M
CG69038,,,College,4817.992644,38157,61,0,81.53233,Personal Auto,Two-Door Car,Washington,M
IR73545,,,College,13727.79972,0,126,0,604.8,Personal Auto,SUV,Oregon,M
CR85257,,,High School or Below,4996.545123,99761,63,0,452.246664,Corporate Auto,Two-Door Car,Oregon,M
JX88012,,,College,7960.007541,98350,101,3,289.181979,Corporate Auto,SUV,Oregon,F
ED44765,,,High School or Below,7367.653764,25318,63,2,302.4,Personal Auto,Four-Door Car,Oregon,F
TW81986,,,Bachelor,5632.613078,51721,139,0,625.282599,Personal Auto,SUV,Arizona,F
HA56889,,,Bachelor,3884.8552,0,114,0,851.031598,Personal Auto,Sports Car,Nevada,F
EB72669,,,Bachelor,4518.024385,0,78,3,374.4,Personal Auto,Four-Door Car,California,M
CH95772,,,College,2565.124294,68321,66,0,198.263056,Personal Auto,Four-Door Car,California,M
OZ62735,,,Bachelor,15487.44072,69161,129,0,441.138769,Personal Auto,Sports Car,Arizona,M
UN50538,,,Bachelor,6395.351807,72667,80,0,383.228397,Personal Auto,Four-Door Car,Oregon,F
JS76871,,,High School or Below,8639.088723,62082,72,0,91.036967,Corporate Auto,Four-Door Car,Oregon,M
UG42487,,,High School or Below,9806.215757,0,87,0,626.4,Personal Auto,Four-Door Car,Arizona,F
TB56369,,,Bachelor,12472.1199,36551,107,0,53.837271,Personal Auto,Four-Door Car,California,F
ZN27753,,,Bachelor,5794.565797,70524,73,0,350.4,Personal Auto,Four-Door Car,Oregon,M
FH22442,,,High School or Below,2619.027206,60477,65,0,139.841411,Corporate Auto,Four-Door Car,California,F
LV81383,,,High School or Below,3731.504584,0,96,0,460.8,Personal Auto,Four-Door Car,Washington,F
HI34993,,,High School or Below,5421.018201,40376,69,0,427.874055,Personal Auto,Four-Door Car,Oregon,M
KW59167,,,College,6521.368813,72608,82,3,393.6,Personal Auto,Four-Door Car,Oregon,F
BL44722,,,High School or Below,41787.90343,46587,119,2,571.2,Personal Auto,Four-Door Car,Nevada,F
QV11152,,,High School or Below,9613.613215,34398,61,1,292.8,Personal Auto,Two-Door Car,Arizona,M
SG53084,,,Bachelor,4766.645359,70432,61,3,6.422285,Personal Auto,Four-Door Car,California,F
EZ30537,,,Doctor,23984.62144,79655,296,0,498.159874,Personal Auto,Luxury Car,Oregon,F
AY35050,,,College,7292.913911,0,98,0,470.4,Personal Auto,Two-Door Car,Arizona,F
UQ59692,,,Bachelor,21255.49606,73457,133,1,198.115298,Personal Auto,SUV,California,F
JF11031,,,College,5357.75893,0,82,0,393.6,Personal Auto,Four-Door Car,California,M
DE53644,,,Bachelor,5192.355227,23059,66,0,372.430947,Personal Auto,Two-Door Car,California,F
KR53335,,,Bachelor,7116.549068,0,66,0,316.8,Personal Auto,Four-Door Car,Washington,F
AJ89108,,,Bachelor,11009.13049,51643,283,0,1358.4,Personal Auto,Luxury Car,California,F
MZ10085,,,High School or Below,4328.373176,72531,109,1,523.2,Personal Auto,Sports Car,Nevada,M
EV68966,,,College,9419.883665,87840,118,1,161.590594,Personal Auto,SUV,California,M
PS28082,,,High School or Below,2592.928283,57563,66,0,316.8,Personal Auto,Four-Door Car,Arizona,M
MX89333,,,Bachelor,2554.189234,0,72,2,345.6,Personal Auto,Two-Door Car,Arizona,M
OE14751,,,Doctor,3528.044252,31278,92,4,441.6,Personal Auto,Two-Door Car,Oregon,M
YI73667,,,College,5340.810309,0,72,0,345.6,Personal Auto,Four-Door Car,Nevada,F
AX70794,,,High School or Below,2449.31771,47122,62,0,297.6,Personal Auto,Two-Door Car,California,M
BF69918,,,High School or Below,5666.465804,0,77,0,534.228036,Personal Auto,Four-Door Car,Oregon,M
KE61355,,,High School or Below,5272.703428,60260,66,0,328.366827,Corporate Auto,Four-Door Car,Oregon,F
HG65194,,,College,8672.814261,0,125,0,600.0,Personal Auto,SUV,Oregon,F
GV68933,,,High School or Below,7679.677721,12677,101,0,500.633484,Personal Auto,SUV,Arizona,M
LM76366,,,High School or Below,2999.338779,28564,76,0,364.8,Corporate Auto,Two-Door Car,Nevada,M
PS57128,,,Bachelor,3834.735196,41341,99,0,240.24432,Personal Auto,Four-Door Car,California,F
AH55475,,,College,33053.26869,44246,122,3,585.6,Personal Auto,SUV,Arizona,M
LE91297,,,Master,5175.28934,0,71,0,340.8,Personal Auto,Four-Door Car,Oregon,M
IF18508,,,High School or Below,7950.570995,70610,99,0,240.977382,Personal Auto,Four-Door Car,California,F
YE87442,,,High School or Below,9935.165983,34831,124,0,595.2,Personal Auto,SUV,Arizona,F
QD85803,,,Bachelor,7861.798596,30374,99,0,304.537298,Personal Auto,Four-Door Car,California,F
SF25048,,,College,8092.87696,50825,102,0,369.614729,Personal Auto,SUV,California,M
FH39423,,,Master,5539.349243,80727,68,0,98.71658,Personal Auto,Four-Door Car,Oregon,F
LW43630,,,Bachelor,9628.702696,71269,80,0,350.689559,Personal Auto,Four-Door Car,California,F
XO17798,,,High School or Below,5827.483965,45794,74,0,449.63005,Personal Auto,Four-Door Car,Washington,M
IN15077,,,High School or Below,4807.846463,99874,119,0,307.639408,Corporate Auto,Sports Car,California,M
NE16405,,,Bachelor,2582.408525,76731,64,0,201.455005,Personal Auto,Four-Door Car,California,F
TU82820,,,Master,4475.161898,73019,112,0,537.6,Corporate Auto,SUV,California,M
FR26341,,,Master,2399.045522,19112,62,0,259.006614,Personal Auto,Four-Door Car,Oregon,M
MT27589,,,College,7840.165778,58414,210,2,1008.0,Corporate Auto,Luxury SUV,Oregon,M
UG72692,,,Bachelor,2378.090679,0,70,0,734.072654,Personal Auto,Four-Door Car,Oregon,M
MP95255,,,High School or Below,3919.366722,66676,97,0,558.099357,Personal Auto,Four-Door Car,California,F
EM16179,,,College,8274.145703,69011,70,0,336.0,Personal Auto,Four-Door Car,Arizona,F
DR77208,,,Bachelor,9538.770856,0,85,0,58.714775,Personal Auto,Two-Door Car,California,M
PR31509,,,Bachelor,5331.823882,0,71,0,340.8,Personal Auto,Four-Door Car,Nevada,M
SE33381,,,Bachelor,4531.675269,0,126,0,907.2,Corporate Auto,SUV,Arizona,F
BW43011,,,High School or Below,3834.210713,0,112,0,806.4,Personal Auto,SUV,California,M
YP96182,,,Master,2726.797356,31385,69,0,68.193193,Personal Auto,Four-Door Car,Oregon,M
WI58274,,,College,8238.45802,68261,102,0,84.097896,Personal Auto,Sports Car,Oregon,F
YF26585,,,High School or Below,4758.470236,92324,119,2,603.110961,Corporate Auto,Sports Car,Nevada,M
UH76090,,,Bachelor,8818.051498,0,136,4,1237.257917,Personal Auto,SUV,California,F
VF36700,,,Master,24278.10167,20983,97,1,451.751555,Personal Auto,Four-Door Car,Oregon,F
CS32416,,,Bachelor,5595.761077,68004,72,0,416.344082,Corporate Auto,Two-Door Car,Oregon,M
AT18041,,,High School or Below,2682.704812,63471,67,0,387.71779,Personal Auto,Two-Door Car,California,F
TB54645,,,Bachelor,3033.407812,27369,77,0,331.94306,Personal Auto,Four-Door Car,Oregon,F
LX11170,,,High School or Below,4862.908979,36839,61,0,152.496995,Personal Auto,Four-Door Car,Oregon,F
RO43614,,,Bachelor,2128.621329,0,65,2,312.0,Personal Auto,Four-Door Car,Washington,F
QS36363,,,High School or Below,12655.52878,26149,157,0,753.6,Personal Auto,SUV,Arizona,F
FX72157,,,High School or Below,8556.58016,52440,109,0,371.206205,Corporate Auto,Four-Door Car,Oregon,F
XC43591,,,College,12880.74907,24571,109,0,523.2,Personal Auto,Four-Door Car,Oregon,M
PJ71030,,,High School or Below,3049.837544,0,90,0,432.0,Special Auto,Four-Door Car,Oregon,M
JH14651,,,Master,3237.996209,60244,83,3,326.281835,Personal Auto,Four-Door Car,Washington,M
YG42297,,,College,5248.978048,0,72,0,216.700125,Personal Auto,Four-Door Car,Arizona,M
TY31217,,,Bachelor,11009.13049,51643,283,0,1358.4,Personal Auto,Luxury Car,Washington,F
KU69274,,,High School or Below,14267.93156,17157,123,0,770.746666,Personal Auto,SUV,Arizona,F
MU53420,,,High School or Below,5325.724541,0,73,0,496.474767,Personal Auto,Two-Door Car,Oregon,M
RE36747,,,High School or Below,3034.771777,17308,82,0,874.324338,Personal Auto,Four-Door Car,Nevada,M
IN78205,,,College,8329.039004,0,118,0,849.6,Personal Auto,SUV,Arizona,F
AH39293,,,College,2616.613903,72302,66,0,316.8,Personal Auto,Two-Door Car,California,M
IF30418,,,Master,2574.020376,34990,65,0,42.689135,Personal Auto,Four-Door Car,California,F
QH51455,,,College,4004.5513,0,107,0,513.6,Personal Auto,Four-Door Car,Arizona,M
UZ60774,,,Bachelor,6051.799036,0,87,1,626.4,Personal Auto,Four-Door Car,Nevada,F
AD63766,,,Bachelor,2839.013244,0,81,0,388.8,Personal Auto,Two-Door Car,Oregon,M
MN19541,,,College,1994.774936,0,61,0,393.215919,Personal Auto,Four-Door Car,Arizona,M
SF38922,,,College,11944.40399,33760,102,0,123.491865,Personal Auto,SUV,Oregon,M
ST91578,,,Master,6466.304259,0,90,0,144.776935,Personal Auto,Four-Door Car,California,M
AP52565,,,High School or Below,6746.434272,70328,84,0,293.227028,Corporate Auto,Four-Door Car,Arizona,F
BT68954,,,Bachelor,3561.035706,0,99,0,712.8,Special Auto,Four-Door Car,Oregon,M
NU93648,,,Bachelor,20774.02463,0,63,0,243.208647,Corporate Auto,Two-Door Car,Arizona,M
OU60143,,,Bachelor,3939.00637,60021,99,0,882.871945,Corporate Auto,Four-Door Car,Oregon,F
EC51047,,,Bachelor,8915.172898,31991,81,3,548.321886,Personal Auto,Four-Door Car,California,F
EV46476,,,Bachelor,8084.325058,20169,112,1,537.6,Personal Auto,SUV,California,M
HB59616,,,College,4502.980016,0,64,0,307.2,Personal Auto,Two-Door Car,Washington,F
RA34556,,,High School or Below,4877.954567,20178,69,2,331.2,Corporate Auto,Four-Door Car,California,M
NB87421,,,High School or Below,8294.968932,78189,103,0,99.143241,Corporate Auto,Four-Door Car,Arizona,M
